,@BBCWorld,@FoxNews,@CNN,@nytimes,@CBSNews,Tweets Ago
0,-0.3182,0.0,0.1779,-0.8176,0.0,1
1,0.0,-0.8225,0.0,-0.2732,-0.7717,2
2,0.0,0.4019,-0.2263,0.5574,0.1027,3
3,-0.4404,-0.6124,0.0,0.0,0.2732,4
4,0.0,-0.296,0.0,0.2003,-0.5994,5
5,0.25,0.0,-0.34,0.3612,-0.6705,6
6,0.0,-0.7271,0.0,0.0,0.0,7
7,0.6369,0.3612,-0.6705,0.4019,-0.4404,8
8,-0.7579,-0.5106,0.5574,0.7906,0.0,9
9,-0.6597,0.0,0.0772,0.0,-0.5423,10
10,0.0,0.0,-0.0258,-0.1531,-0.2732,11
11,-0.5719,0.4588,0.0,0.0,-0.2263,12
12,0.128,0.0,-0.7845,-0.4404,0.0,13
13,0.6688,-0.5267,-0.7964,-0.8555,-0.4019,14
14,0.0772,-0.2732,-0.1779,0.5267,-0.8402,15
15,-0.0516,0.4939,-0.4939,0.0,0.0,16
16,0.0,0.357,0.0,-0.2263,-0.8402,17
17,-0.91,0.4939,0.0,0.296,-0.6486,18
18,0.0,0.0772,0.0,0.0,-0.6486,19
19,-0.3182,-0.4939,-0.1531,0.2263,-0.1027,20
20,0.0,0.5574,-0.4588,0.0772,-0.4404,21
21,0.0,0.0,0.296,-0.7506,0.0,22
22,-0.25,0.0,0.0,-0.5267,-0.3182,23
23,0.0,0.6705,0.0,0.0,0.0,24
24,-0.3182,0.5267,-0.4588,-0.34,0.5859,25
25,-0.0772,0.5423,0.0,0.4404,0.0,26
26,0.0,-0.4939,-0.5106,-0.4767,-0.5106,27
27,-0.7845,-0.3867,-0.3252,-0.3804,0.0,28
28,0.0,0.3612,-0.296,0.0,-0.4939,29
29,0.296,0.0,-0.5719,0.0,-0.5859,30
30,0.0,0.128,-0.34,-0.6249,-0.8271,31
31,-0.0772,0.0772,0.6553,0.0,0.0,32
32,0.5945,0.281,0.4215,0.7783,0.0,33
33,0.0,0.0,-0.3612,-0.2263,-0.7783,34
34,0.4215,0.0,0.0,-0.3818,-0.25,35
35,0.0,0.0,-0.4215,-0.2263,0.6124,36
36,0.0,0.0,0.5859,0.0,-0.872,37
37,0.5859,-0.5994,0.5859,-0.296,0.0,38
38,-0.25,0.357,0.4215,0.0,0.0,39
39,0.0,0.25,0.4939,0.5574,0.0,40
40,-0.1531,0.0,0.0,0.0,0.0,41
41,0.5106,0.1779,0.128,0.296,0.4939,42
42,0.0,0.3382,0.0258,0.0387,-0.5994,43
43,0.0,0.4019,0.6597,-0.2584,0.34,44
44,0.0,0.0,-0.1027,-0.296,-0.5574,45
45,-0.5106,-0.6369,0.5106,0.8126,0.0,46
46,-0.6249,0.4939,-0.4215,-0.128,0.0,47
47,0.0,-0.4019,0.0,0.0,-0.5859,48
48,-0.7906,0.0,0.0,0.0,0.0,49
